ANIO_MES,AÑO,MES,MES_NOMBRE,ENTIDAD,CONCEPTO,TIPO,CASOS
2024-01,2024,1,ENERO,AGUASCALIENTES,CONTRA LA SALUD,TRANSPORTE,0
2024-01,2024,1,ENERO,AGUASCALIENTES,CONTRA LA SALUD,TRAFICO,0
2024-01,2024,1,ENERO,AGUASCALIENTES,CONTRA LA SALUD,COMERCIO,0
2024-01,2024,1,ENERO,AGUASCALIENTES,CONTRA LA SALUD,SUMINISTRO,0
2024-01,2024,1,ENERO,AGUASCALIENTES,CONTRA LA SALUD,OTROS,0
2024-01,2024,1,ENERO,BAJA CALIFORNIA,CONTRA LA SALUD,PRODUCCION,0
2024-01,2024,1,ENERO,BAJA CALIFORNIA,CONTRA LA SALUD,COMERCIO,0
2024-01,2024,1,ENERO,BAJA CALIFORNIA,CONTRA LA SALUD,SUMINISTRO,0
2024-01,2024,1,ENERO,BAJA CALIFORNIA,CONTRA LA SALUD,OTROS,0
2024-01,2024,1,ENERO,BAJA CALIFORNIA SUR,CONTRA LA SALUD,PRODUCCION,0
2024-01,2024,1,ENERO,BAJA CALIFORNIA SUR,CONTRA LA SALUD,SUMINISTRO,0
2024-01,2024,1,ENERO,BAJA CALIFORNIA SUR,CONTRA LA SALUD,OTROS,0
2024-01,2024,1,ENERO,CAMPECHE,CONTRA LA SALUD,PRODUCCION,0
2024-01,2024,1,ENERO,CAMPECHE,CONTRA LA SALUD,TRAFICO,0
2024-01,2024,1,ENERO,CAMPECHE,CONTRA LA SALUD,COMERCIO,0
2024-01,2024,1,ENERO,CAMPECHE,CONTRA LA SALUD,SUMINISTRO,0
2024-01,2024,1,ENERO,CAMPECHE,CONTRA LA SALUD,OTROS,0
2024-01,2024,1,ENERO,COAHUILA,CONTRA LA SALUD,PRODUCCION,0
2024-01,2024,1,ENERO,COAHUILA,CONTRA LA SALUD,TRAFICO,0
2024-01,2024,1,ENERO,COAHUILA,CONTRA LA SALUD,OTROS,0
2024-01,2024,1,ENERO,COLIMA,CONTRA LA SALUD,PRODUCCION,0
2024-01,2024,1,ENERO,COLIMA,CONTRA LA SALUD,TRANSPORTE,0
2024-01,2024,1,ENERO,COLIMA,CONTRA LA SALUD,COMERCIO,0
2024-01,2024,1,ENERO,COLIMA,CONTRA LA SALUD,SUMINISTRO,0
2024-01,2024,1,ENERO,CHIAPAS,CONTRA LA SALUD,PRODUCCION,0
2024-01,2024,1,ENERO,CHIAPAS,CONTRA LA SALUD,COMERCIO,0
2024-01,2024,1,ENERO,CHIAPAS,CONTRA LA SALUD,SUMINISTRO,0
2024-01,2024,1,ENERO,CHIAPAS,CONTRA LA SALUD,OTROS,0
2024-01,2024,1,ENERO,CHIHUAHUA,CONTRA LA SALUD,PRODUCCION,0
2024-01,2024,1,ENERO,CHIHUAHUA,CONTRA LA SALUD,TRANSPORTE,0
2024-01,2024,1,ENERO,CHIHUAHUA,CONTRA LA SALUD,COMERCIO,0
2024-01,2024,1,ENERO,CHIHUAHUA,CONTRA LA SALUD,SUMINISTRO,0
2024-01,2024,1,ENERO,CIUDAD DE MEXICO,CONTRA LA SALUD,PRODUCCION,0
2024-01,2024,1,ENERO,CIUDAD DE MEXICO,CONTRA LA SALUD,SUMINISTRO,0
2024-01,2024,1,ENERO,CIUDAD DE MEXICO,CONTRA LA SALUD,OTROS,0
2024-01,2024,1,ENERO,DURANGO,CONTRA LA SALUD,PRODUCCION,0
2024-01,2024,1,ENERO,DURANGO,CONTRA LA SALUD,SUMINISTRO,0
2024-01,2024,1,ENERO,DURANGO,CONTRA LA SALUD,OTROS,0
2024-01,2024,1,ENERO,GUANAJUATO,CONTRA LA SALUD,PRODUCCION,0
2024-01,2024,1,ENERO,GUANAJUATO,CONTRA LA SALUD,TRANSPORTE,0
2024-01,2024,1,ENERO,GUANAJUATO,CONTRA LA SALUD,TRAFICO,0
2024-01,2024,1,ENERO,GUANAJUATO,CONTRA LA SALUD,COMERCIO,0
2024-01,2024,1,ENERO,GUANAJUATO,CONTRA LA SALUD,SUMINISTRO,0
2024-01,2024,1,ENERO,GUANAJUATO,CONTRA LA SALUD,OTROS,0
2024-01,2024,1,ENERO,GUERRERO,CONTRA LA SALUD,PRODUCCION,0
2024-01,2024,1,ENERO,GUERRERO,CONTRA LA SALUD,TRANSPORTE,0
2024-01,2024,1,ENERO,GUERRERO,CONTRA LA SALUD,TRAFICO,0
2024-01,2024,1,ENERO,GUERRERO,CONTRA LA SALUD,COMERCIO,0
2024-01,2024,1,ENERO,GUERRERO,CONTRA LA SALUD,SUMINISTRO,0
2024-01,2024,1,ENERO,HIDALGO,CONTRA LA SALUD,PRODUCCION,0
2024-01,2024,1,ENERO,HIDALGO,CONTRA LA SALUD,COMERCIO,0
2024-01,2024,1,ENERO,HIDALGO,CONTRA LA SALUD,OTROS,0
2024-01,2024,1,ENERO,JALISCO,CONTRA LA SALUD,PRODUCCION,0
2024-01,2024,1,ENERO,JALISCO,CONTRA LA SALUD,SUMINISTRO,0
2024-01,2024,1,ENERO,MEXICO,CONTRA LA SALUD,PRODUCCION,0
2024-01,2024,1,ENERO,MEXICO,CONTRA LA SALUD,OTROS,0
2024-01,2024,1,ENERO,MICHOACAN,CONTRA LA SALUD,COMERCIO,0
2024-01,2024,1,ENERO,MICHOACAN,CONTRA LA SALUD,SUMINISTRO,0
2024-01,2024,1,ENERO,MICHOACAN,CONTRA LA SALUD,OTROS,0
2024-01,2024,1,ENERO,MORELOS,CONTRA LA SALUD,PRODUCCION,0
2024-01,2024,1,ENERO,MORELOS,CONTRA LA SALUD,TRANSPORTE,0
2024-01,2024,1,ENERO,MORELOS,CONTRA LA SALUD,TRAFICO,0
2024-01,2024,1,ENERO,MORELOS,CONTRA LA SALUD,SUMINISTRO,0
2024-01,2024,1,ENERO,MORELOS,CONTRA LA SALUD,OTROS,0
2024-01,2024,1,ENERO,NAYARIT,CONTRA LA SALUD,PRODUCCION,0
2024-01,2024,1,ENERO,NAYARIT,CONTRA LA SALUD,TRANSPORTE,0
2024-01,2024,1,ENERO,NAYARIT,CONTRA LA SALUD,COMERCIO,0
2024-01,2024,1,ENERO,NAYARIT,CONTRA LA SALUD,SUMINISTRO,0
2024-01,2024,1,ENERO,NAYARIT,CONTRA LA SALUD,OTROS,0
2024-01,2024,1,ENERO,NUEVO LEON,CONTRA LA SALUD,PRODUCCION,0
2024-01,2024,1,ENERO,NUEVO LEON,CONTRA LA SALUD,SUMINISTRO,0
2024-01,2024,1,ENERO,NUEVO LEON,CONTRA LA SALUD,OTROS,0
2024-01,2024,1,ENERO,OAXACA,CONTRA LA SALUD,PRODUCCION,0
2024-01,2024,1,ENERO,OAXACA,CONTRA LA SALUD,SUMINISTRO,0
2024-01,2024,1,ENERO,OAXACA,CONTRA LA SALUD,POSESION,0
2024-01,2024,1,ENERO,OAXACA,CONTRA LA SALUD,OTROS,0
2024-01,2024,1,ENERO,PUEBLA,CONTRA LA SALUD,PRODUCCION,0
2024-01,2024,1,ENERO,PUEBLA,CONTRA LA SALUD,TRANSPORTE,0
2024-01,2024,1,ENERO,PUEBLA,CONTRA LA SALUD,COMERCIO,0
2024-01,2024,1,ENERO,PUEBLA,CONTRA LA SALUD,SUMINISTRO,0
2024-01,2024,1,ENERO,PUEBLA,CONTRA LA SALUD,OTROS,0
2024-01,2024,1,ENERO,QUERETARO,CONTRA LA SALUD,PRODUCCION,0
2024-01,2024,1,ENERO,QUERETARO,CONTRA LA SALUD,COMERCIO,0
2024-01,2024,1,ENERO,QUERETARO,CONTRA LA SALUD,SUMINISTRO,0
2024-01,2024,1,ENERO,QUINTANA ROO,CONTRA LA SALUD,PRODUCCION,0
2024-01,2024,1,ENERO,QUINTANA ROO,CONTRA LA SALUD,TRAFICO,0
2024-01,2024,1,ENERO,QUINTANA ROO,CONTRA LA SALUD,SUMINISTRO,0
2024-01,2024,1,ENERO,QUINTANA ROO,CONTRA LA SALUD,OTROS,0
2024-01,2024,1,ENERO,SAN LUIS POTOSI,CONTRA LA SALUD,SUMINISTRO,0
2024-01,2024,1,ENERO,SAN LUIS POTOSI,CONTRA LA SALUD,OTROS,0
2024-01,2024,1,ENERO,SINALOA,CONTRA LA SALUD,COMERCIO,0
2024-01,2024,1,ENERO,SINALOA,CONTRA LA SALUD,SUMINISTRO,0
