ENTIDAD,CONCEPTO,TIPO,TOTAL_ENE_JUL_2025
DURANGO,CONTRA LA SALUD,TRANSPORTE,11
GUANAJUATO,CONTRA LA SALUD,COMERCIO,1
GUANAJUATO,CONTRA LA SALUD,POSESION,127
GUANAJUATO,CONTRA LA SALUD,TRAFICO,11
GUERRERO,CONTRA LA SALUD,COMERCIO,2
GUERRERO,CONTRA LA SALUD,OTROS,10
GUERRERO,CONTRA LA SALUD,POSESION,28
GUERRERO,CONTRA LA SALUD,PRODUCCION,4
GUERRERO,CONTRA LA SALUD,TRAFICO,3
GUERRERO,CONTRA LA SALUD,TRANSPORTE,4
HIDALGO,CONTRA LA SALUD,COMERCIO,3
HIDALGO,CONTRA LA SALUD,OTROS,3
HIDALGO,CONTRA LA SALUD,POSESION,28
HIDALGO,CONTRA LA SALUD,PRODUCCION,6
HIDALGO,CONTRA LA SALUD,TRAFICO,9
HIDALGO,CONTRA LA SALUD,TRANSPORTE,3
JALISCO,CONTRA LA SALUD,COMERCIO,10
JALISCO,CONTRA LA SALUD,OTROS,10
JALISCO,CONTRA LA SALUD,POSESION,181
JALISCO,CONTRA LA SALUD,PRODUCCION,8
JALISCO,CONTRA LA SALUD,TRAFICO,29
JALISCO,CONTRA LA SALUD,TRANSPORTE,10
MEXICO,CONTRA LA SALUD,COMERCIO,7
MEXICO,CONTRA LA SALUD,POSESION,32
MEXICO,CONTRA LA SALUD,PRODUCCION,2
MEXICO,CONTRA LA SALUD,TRAFICO,25
MEXICO,CONTRA LA SALUD,TRANSPORTE,17
MICHOACAN,CONTRA LA SALUD,COMERCIO,9
MICHOACAN,CONTRA LA SALUD,OTROS,5
MICHOACAN,CONTRA LA SALUD,POSESION,54
MICHOACAN,CONTRA LA SALUD,PRODUCCION,11
MICHOACAN,CONTRA LA SALUD,TRAFICO,28
MICHOACAN,CONTRA LA SALUD,TRANSPORTE,13
MORELOS,CONTRA LA SALUD,COMERCIO,1
MORELOS,CONTRA LA SALUD,OTROS,1
MORELOS,CONTRA LA SALUD,POSESION,16
MORELOS,CONTRA LA SALUD,TRAFICO,1
MORELOS,CONTRA LA SALUD,TRANSPORTE,1
NAYARIT,CONTRA LA SALUD,OTROS,9
NAYARIT,CONTRA LA SALUD,POSESION,9
NAYARIT,CONTRA LA SALUD,PRODUCCION,1
NAYARIT,CONTRA LA SALUD,TRAFICO,10
NAYARIT,CONTRA LA SALUD,TRANSPORTE,1
NUEVO LEON,CONTRA LA SALUD,COMERCIO,17
NUEVO LEON,CONTRA LA SALUD,POSESION,99
NUEVO LEON,CONTRA LA SALUD,SUMINISTRO,1
NUEVO LEON,CONTRA LA SALUD,TRAFICO,83
NUEVO LEON,CONTRA LA SALUD,TRANSPORTE,33
OAXACA,CONTRA LA SALUD,COMERCIO,2
OAXACA,CONTRA LA SALUD,OTROS,12
OAXACA,CONTRA LA SALUD,POSESION,31
OAXACA,CONTRA LA SALUD,PRODUCCION,2
OAXACA,CONTRA LA SALUD,SUMINISTRO,1
OAXACA,CONTRA LA SALUD,TRAFICO,7
OAXACA,CONTRA LA SALUD,TRANSPORTE,5
PUEBLA,CONTRA LA SALUD,COMERCIO,3
PUEBLA,CONTRA LA SALUD,POSESION,51
PUEBLA,CONTRA LA SALUD,SUMINISTRO,1
PUEBLA,CONTRA LA SALUD,TRAFICO,5
PUEBLA,CONTRA LA SALUD,TRANSPORTE,3
QUERETARO,CONTRA LA SALUD,COMERCIO,3
QUERETARO,CONTRA LA SALUD,OTROS,1
QUERETARO,CONTRA LA SALUD,POSESION,118
QUERETARO,CONTRA LA SALUD,TRAFICO,36
QUERETARO,CONTRA LA SALUD,TRANSPORTE,134
QUINTANA ROO,CONTRA LA SALUD,COMERCIO,1
QUINTANA ROO,CONTRA LA SALUD,POSESION,33
QUINTANA ROO,CONTRA LA SALUD,TRAFICO,6
QUINTANA ROO,CONTRA LA SALUD,TRANSPORTE,2
SAN LUIS POTOSI,CONTRA LA SALUD,COMERCIO,32
SAN LUIS POTOSI,CONTRA LA SALUD,POSESION,49
