ENTIDAD,CONCEPTO,TIPO,2024-01,2024-02,2024-03,2024-04,2024-05,2024-06,2024-07,2024-08,2024-09,2024-10,2024-11,2024-12,2025-01,2025-02,2025-03,2025-04,2025-05,2025-06,2025-07
QUERETARO,CONTRA LA SALUD,POSESION,50.0,-53.3,128.6,-31.2,18.2,-53.8,-16.7,80.0,-55.6,275.0,-33.3,30.0,38.5,-5.6,-35.3,72.7,-36.8,33.3,56.2
QUERETARO,CONTRA LA SALUD,PRODUCCION,,,-100.0,,,,,,,,,,,,,,,,
QUERETARO,CONTRA LA SALUD,SUMINISTRO,,,,,,,,,,,,,,,,,,,
QUERETARO,CONTRA LA SALUD,TRAFICO,-80.0,300.0,50.0,16.7,0.0,-71.4,100.0,-25.0,66.7,0.0,-20.0,-25.0,200.0,0.0,-88.9,700.0,-50.0,25.0,-100.0
QUERETARO,CONTRA LA SALUD,TRANSPORTE,25.0,80.0,-22.2,85.7,7.7,-21.4,-18.2,22.2,-18.2,55.6,14.3,6.2,35.3,-17.4,15.8,31.8,-69.0,33.3,66.7
QUERETARO,LEY FEDERAL CONTRA LA DELINCUENCIA ORGANIZADA (L.F.C.D.O.),CONTRA LA SALUD,,,,,,,,,,,,,,,,,,,
QUERETARO,LEY FEDERAL CONTRA LA DELINCUENCIA ORGANIZADA (L.F.C.D.O.),OTROS DELITOS PREVISTOS EN LA L.F.C.D.O.,,,-100.0,,100.0,-100.0,,,,,,-50.0,0.0,-100.0,,0.0,-100.0,,-100.0
QUERETARO,LEY GENERAL DE SALUD (L.G.S.),CONTRA LA SALUD EN SU MODALIDAD DE NARCOMENUDEO,,,,,-100.0,,,,,,,,,,,,,-100.0,
QUERETARO,LEY GENERAL DE SALUD (L.G.S.),OTROS DELITOS PREVISTOS EN LA L.G.S.,,,,0.0,-100.0,,,,,,,,,,,,,,
QUERETARO,OTRAS LEYES Y CODIGOS,CODIGO FISCAL DE LA FEDERACION (C.F.F.),-100.0,,100.0,-100.0,,,,100.0,0.0,-75.0,200.0,-33.3,0.0,-50.0,-100.0,,50.0,-66.7,900.0
QUERETARO,OTRAS LEYES Y CODIGOS,LEY DE LA PROPIEDAD INDUSTRIAL (L.P.I.),,-100.0,,0.0,0.0,500.0,-83.3,100.0,50.0,-66.7,500.0,-100.0,,-100.0,,0.0,700.0,-100.0,
QUERETARO,OTRAS LEYES Y CODIGOS,LEY DE MIGRACION,,,,,,,,,,,,,-100.0,,,,,,-100.0
QUERETARO,OTRAS LEYES Y CODIGOS,LEY DE VIAS GENERALES DE COMUNICACION (L.V.G.C.),-76.5,725.0,-33.3,-27.3,68.8,-18.5,-31.8,46.7,-22.7,11.8,21.1,-13.0,-50.0,160.0,-11.5,-43.5,53.8,-15.0,35.3
QUERETARO,OTRAS LEYES Y CODIGOS,LEY FEDERAL DE ARMAS DE FUEGO Y EXPLOSIVOS (L.F.A.F.E.),-34.6,64.7,10.7,-22.6,0.0,8.3,7.7,14.3,-9.4,-34.5,73.7,-18.2,66.7,-28.9,-25.0,58.3,-5.3,-2.8,11.4
QUERETARO,OTRAS LEYES Y CODIGOS,LEY FEDERAL DEL DERECHO DE AUTOR (L.F.D.A.),,,,,,,,,,,,,,,,,,,
QUERETARO,OTRAS LEYES Y CODIGOS,LEY FEDERAL PARA PREVENIR Y SANCIONAR LOS DELITOS COMETIDOS EN MATERIA DE HIDROCARBUROS (L.F.P.S.D.C.M.H.),38.5,-27.8,23.1,-6.2,0.0,-6.7,42.9,25.0,12.0,17.9,0.0,-39.4,5.0,0.0,114.3,-2.2,-36.4,17.9,9.1
QUERETARO,OTRAS LEYES Y CODIGOS,LEY GENERAL EN MATERIA DE DELITOS ELECTORALES (L.G.M.D.E.),,,-50.0,100.0,300.0,0.0,-87.5,-100.0,,0.0,-100.0,,,,,,,300.0,-75.0
QUERETARO,OTRAS LEYES Y CODIGOS,"LEYES DE INSTITUCIONES DE CREDITO, INVERSION, FIANZAS Y SEGUROS",,0.0,-60.0,-100.0,,100.0,100.0,-50.0,200.0,-50.0,-33.3,-50.0,0.0,100.0,-50.0,200.0,100.0,-66.7,-100.0
QUERETARO,OTRAS LEYES Y CODIGOS,OTRAS LEYES ESPECIALES,-42.9,-12.5,28.6,177.8,-52.0,91.7,-52.2,72.7,31.6,-24.0,-47.4,170.0,-92.6,200.0,216.7,-26.3,7.1,206.7,-56.5
QUERETARO,OTROS DELITOS,COMETIDOS POR SERVIDORES PUBLICOS,50.0,133.3,-42.9,25.0,20.0,33.3,-62.5,66.7,-100.0,,150.0,-40.0,66.7,-80.0,100.0,150.0,-100.0,,333.3
QUERETARO,OTROS DELITOS,CONTRA EL AMBIENTE Y LA GESTION AMBIENTAL,,,-100.0,,-100.0,,,-50.0,-100.0,,,,,-33.3,0.0,-50.0,0.0,100.0,0.0
QUERETARO,OTROS DELITOS,CONTRA LA INTEGRIDAD CORPORAL,-100.0,,-33.3,-50.0,-100.0,,-100.0,,-100.0,,,-100.0,,-100.0,,50.0,-100.0,,-100.0
QUERETARO,OTROS DELITOS,ELECTORALES,,,,,,,,,,,,,,,,,,,
QUERETARO,OTROS DELITOS,EN MATERIA DE DERECHOS DE AUTOR,,-100.0,,-100.0,,,,,-100.0,,,,-100.0,,,,,,-100.0
QUERETARO,OTROS DELITOS,"FALSEDAD, TITULO DECIMO TERCERO",0.0,83.3,-90.9,500.0,0.0,0.0,-33.3,-25.0,33.3,25.0,-20.0,0.0,75.0,-57.1,66.7,-40.0,66.7,0.0,100.0
QUERETARO,OTROS DELITOS,OTROS DELITOS DEL C.P.F.,-75.0,0.0,100.0,150.0,-40.0,-33.3,150.0,-60.0,-100.0,,-33.3,-100.0,,100.0,0.0,200.0,33.3,-100.0,
QUERETARO,OTROS DELITOS,PATRIMONIALES,-25.0,54.2,2.7,9.2,9.6,-13.2,5.1,-4.8,-6.3,-6.8,20.3,-16.9,37.7,-8.4,-3.4,1.2,-1.2,3.6,-6.9
QUERETARO,OTROS DELITOS,VIAS DE COMUNICACION Y CORRESPONDENCIA,-57.1,0.0,0.0,0.0,33.3,-25.0,-33.3,0.0,100.0,25.0,40.0,-42.9,175.0,-63.6,-100.0,,16.7,57.1,-36.4
QUINTANA ROO,CONTRA LA SALUD,COMERCIO,0.0,-50.0,-100.0,,0.0,-100.0,,,,,,,,,-100.0,,,,
QUINTANA ROO,CONTRA LA SALUD,OTROS,,,,,,,,,,,,,,,,,,,
QUINTANA ROO,CONTRA LA SALUD,POSESION,240.0,-64.7,116.7,-15.4,72.7,-63.2,85.7,-7.7,-25.0,11.1,-40.0,-66.7,100.0,50.0,33.3,-50.0,-50.0,200.0,-50.0
QUINTANA ROO,CONTRA LA SALUD,PRODUCCION,,,,,,,,,,,,,,,,,,,
QUINTANA ROO,CONTRA LA SALUD,SUMINISTRO,,,,,,,,,,,,,,,,,,,
QUINTANA ROO,CONTRA LA SALUD,TRAFICO,-100.0,,,,0.0,-100.0,,-100.0,,,-100.0,,,,,,-100.0,,-50.0
QUINTANA ROO,CONTRA LA SALUD,TRANSPORTE,-33.3,-50.0,-100.0,,-50.0,-100.0,,-100.0,,,-100.0,,-100.0,,,0.0,-100.0,,
