ENTIDAD,CONCEPTO,TIPO,2023-12,2024-01,2024-02,2024-03,2024-04,2024-05,2024-06,2024-07,2024-08,2024-09,2024-10,2024-11,2024-12,2025-01,2025-02,2025-03,2025-04,2025-05,2025-06,2025-07
COLIMA,OTROS DELITOS,OTROS DELITOS DEL C.P.F.,2,1,2,3,4,2,2,2,1,5,4,2,2,2,1,1,4,2,4,3
COLIMA,OTROS DELITOS,PATRIMONIALES,16,13,17,11,16,20,16,11,14,11,16,15,20,13,10,12,10,12,37,18
COLIMA,OTROS DELITOS,VIAS DE COMUNICACION Y CORRESPONDENCIA,2,2,1,4,3,2,1,2,2,3,0,13,9,7,5,4,2,5,2,4
DURANGO,CONTRA LA SALUD,COMERCIO,0,1,0,0,0,1,0,0,0,0,0,0,0,0,2,1,1,0,1,0
DURANGO,CONTRA LA SALUD,OTROS,3,0,3,6,3,3,3,1,1,1,1,3,2,1,1,3,2,1,4,0
DURANGO,CONTRA LA SALUD,POSESION,0,3,2,3,4,4,3,2,5,3,4,5,1,1,0,4,2,0,2,0
DURANGO,CONTRA LA SALUD,PRODUCCION,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1
DURANGO,CONTRA LA SALUD,SUMINISTRO,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
DURANGO,CONTRA LA SALUD,TRAFICO,2,1,3,1,3,0,3,3,0,1,2,3,1,3,4,4,4,5,4,8
DURANGO,CONTRA LA SALUD,TRANSPORTE,1,1,1,0,1,4,2,1,3,2,2,1,3,0,2,2,0,3,1,3
DURANGO,LEY FEDERAL CONTRA LA DELINCUENCIA ORGANIZADA (L.F.C.D.O.),CONTRA LA SALUD,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0
DURANGO,LEY FEDERAL CONTRA LA DELINCUENCIA ORGANIZADA (L.F.C.D.O.),OTROS DELITOS PREVISTOS EN LA L.F.C.D.O.,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0
DURANGO,LEY GENERAL DE SALUD (L.G.S.),CONTRA LA SALUD EN SU MODALIDAD DE NARCOMENUDEO,0,0,0,0,0,0,0,0,1,0,0,0,1,1,1,1,1,2,3,3
DURANGO,LEY GENERAL DE SALUD (L.G.S.),OTROS DELITOS PREVISTOS EN LA L.G.S.,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DURANGO,OTRAS LEYES Y CODIGOS,CODIGO FISCAL DE LA FEDERACION (C.F.F.),2,0,1,4,4,3,4,2,3,1,3,0,4,9,3,2,4,4,3,1
DURANGO,OTRAS LEYES Y CODIGOS,LEY DE LA PROPIEDAD INDUSTRIAL (L.P.I.),1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0
DURANGO,OTRAS LEYES Y CODIGOS,LEY DE MIGRACION,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
DURANGO,OTRAS LEYES Y CODIGOS,LEY DE VIAS GENERALES DE COMUNICACION (L.V.G.C.),19,15,7,22,7,18,11,27,13,13,18,7,14,10,16,15,19,8,9,15
DURANGO,OTRAS LEYES Y CODIGOS,LEY FEDERAL DE ARMAS DE FUEGO Y EXPLOSIVOS (L.F.A.F.E.),6,11,9,3,2,3,3,7,6,7,5,7,5,8,8,6,3,11,10,8
DURANGO,OTRAS LEYES Y CODIGOS,LEY FEDERAL DEL DERECHO DE AUTOR (L.F.D.A.),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DURANGO,OTRAS LEYES Y CODIGOS,LEY FEDERAL PARA PREVENIR Y SANCIONAR LOS DELITOS COMETIDOS EN MATERIA DE HIDROCARBUROS (L.F.P.S.D.C.M.H.),6,2,8,2,1,5,5,2,7,6,8,2,5,7,2,4,2,9,8,6
DURANGO,OTRAS LEYES Y CODIGOS,LEY GENERAL EN MATERIA DE DELITOS ELECTORALES (L.G.M.D.E.),0,0,0,1,1,1,3,0,0,0,0,0,0,0,0,0,1,1,4,1
DURANGO,OTRAS LEYES Y CODIGOS,"LEYES DE INSTITUCIONES DE CREDITO, INVERSION, FIANZAS Y SEGUROS",1,1,0,2,2,5,0,1,4,4,1,0,1,0,0,1,0,1,3,2
DURANGO,OTRAS LEYES Y CODIGOS,OTRAS LEYES ESPECIALES,34,20,23,29,31,27,18,19,25,13,9,20,16,8,10,18,13,14,12,16
DURANGO,OTROS DELITOS,COMETIDOS POR SERVIDORES PUBLICOS,6,8,10,10,10,11,13,17,8,8,17,22,17,24,21,28,26,15,23,38
DURANGO,OTROS DELITOS,CONTRA EL AMBIENTE Y LA GESTION AMBIENTAL,0,1,2,0,4,5,2,5,4,1,2,1,1,3,2,3,6,5,2,1
DURANGO,OTROS DELITOS,CONTRA LA INTEGRIDAD CORPORAL,4,6,3,3,3,1,3,6,5,1,5,2,4,3,8,4,0,3,3,7
DURANGO,OTROS DELITOS,ELECTORALES,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
DURANGO,OTROS DELITOS,EN MATERIA DE DERECHOS DE AUTOR,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DURANGO,OTROS DELITOS,"FALSEDAD, TITULO DECIMO TERCERO",0,1,1,2,2,3,2,1,2,2,2,1,1,3,5,2,2,6,2,6
DURANGO,OTROS DELITOS,OTROS DELITOS DEL C.P.F.,3,2,5,6,7,4,8,4,10,5,10,2,5,4,6,3,4,9,8,10
DURANGO,OTROS DELITOS,PATRIMONIALES,22,15,14,21,22,39,27,23,22,20,23,15,17,20,20,30,27,14,18,23
DURANGO,OTROS DELITOS,VIAS DE COMUNICACION Y CORRESPONDENCIA,0,1,0,0,0,0,1,1,2,0,1,3,0,0,0,0,1,0,0,1
GUANAJUATO,CONTRA LA SALUD,COMERCIO,1,0,0,0,1,0,0,1,0,0,1,1,0,0,1,0,0,0,0,0
GUANAJUATO,CONTRA LA SALUD,OTROS,0,0,1,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0
GUANAJUATO,CONTRA LA SALUD,POSESION,15,22,20,26,26,24,24,26,25,15,12,17,14,21,14,21,16,12,19,24
GUANAJUATO,CONTRA LA SALUD,PRODUCCION,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
GUANAJUATO,CONTRA LA SALUD,SUMINISTRO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GUANAJUATO,CONTRA LA SALUD,TRAFICO,0,0,0,0,0,1,1,0,1,0,0,0,2,2,1,1,4,3,0,0
GUANAJUATO,CONTRA LA SALUD,TRANSPORTE,0,0,1,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
GUANAJUATO,LEY FEDERAL CONTRA LA DELINCUENCIA ORGANIZADA (L.F.C.D.O.),CONTRA LA SALUD,0,0,0,0,0,0,0,0,1,1,2,1,0,0,0,0,0,0,0,0
GUANAJUATO,LEY FEDERAL CONTRA LA DELINCUENCIA ORGANIZADA (L.F.C.D.O.),OTROS DELITOS PREVISTOS EN LA L.F.C.D.O.,0,0,1,1,0,0,0,0,2,0,1,0,1,4,0,2,1,2,1,0
GUANAJUATO,LEY GENERAL DE SALUD (L.G.S.),CONTRA LA SALUD EN SU MODALIDAD DE NARCOMENUDEO,0,0,3,1,0,3,2,0,2,1,1,0,1,3,1,0,2,1,2,3
GUANAJUATO,LEY GENERAL DE SALUD (L.G.S.),OTROS DELITOS PREVISTOS EN LA L.G.S.,0,0,0,2,0,0,1,2,1,0,3,0,2,0,0,0,0,0,0,2
GUANAJUATO,OTRAS LEYES Y CODIGOS,CODIGO FISCAL DE LA FEDERACION (C.F.F.),2,4,3,5,5,3,11,3,2,8,1,7,4,0,3,5,0,3,5,4
GUANAJUATO,OTRAS LEYES Y CODIGOS,LEY DE LA PROPIEDAD INDUSTRIAL (L.P.I.),3,0,1,0,2,1,2,2,1,3,2,1,4,0,1,0,0,2,3,5
GUANAJUATO,OTRAS LEYES Y CODIGOS,LEY DE MIGRACION,1,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0
GUANAJUATO,OTRAS LEYES Y CODIGOS,LEY DE VIAS GENERALES DE COMUNICACION (L.V.G.C.),30,47,34,42,29,42,36,44,31,20,20,24,50,31,19,14,48,28,25,42
GUANAJUATO,OTRAS LEYES Y CODIGOS,LEY FEDERAL DE ARMAS DE FUEGO Y EXPLOSIVOS (L.F.A.F.E.),96,102,101,77,82,100,77,74,81,73,66,68,80,102,90,100,92,68,80,105
GUANAJUATO,OTRAS LEYES Y CODIGOS,LEY FEDERAL DEL DERECHO DE AUTOR (L.F.D.A.),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GUANAJUATO,OTRAS LEYES Y CODIGOS,LEY FEDERAL PARA PREVENIR Y SANCIONAR LOS DELITOS COMETIDOS EN MATERIA DE HIDROCARBUROS (L.F.P.S.D.C.M.H.),28,47,36,26,30,28,33,22,32,29,56,45,45,29,46,56,48,32,29,38
GUANAJUATO,OTRAS LEYES Y CODIGOS,LEY GENERAL EN MATERIA DE DELITOS ELECTORALES (L.G.M.D.E.),0,0,0,0,0,3,2,0,0,0,0,0,0,0,0,0,0,2,2,4
GUANAJUATO,OTRAS LEYES Y CODIGOS,"LEYES DE INSTITUCIONES DE CREDITO, INVERSION, FIANZAS Y SEGUROS",4,5,2,2,6,0,0,0,1,1,4,0,2,0,3,7,2,3,2,6
GUANAJUATO,OTRAS LEYES Y CODIGOS,OTRAS LEYES ESPECIALES,21,17,19,27,15,27,15,20,17,9,12,16,28,6,12,18,10,19,22,24
GUANAJUATO,OTROS DELITOS,COMETIDOS POR SERVIDORES PUBLICOS,10,9,8,8,12,11,23,15,20,13,16,10,10,11,12,8,10,14,12,23
GUANAJUATO,OTROS DELITOS,CONTRA EL AMBIENTE Y LA GESTION AMBIENTAL,0,0,0,2,0,1,0,0,1,1,2,0,1,0,2,0,0,2,0,0
GUANAJUATO,OTROS DELITOS,CONTRA LA INTEGRIDAD CORPORAL,6,5,10,7,6,5,10,7,6,4,9,8,7,11,11,7,8,10,4,10
GUANAJUATO,OTROS DELITOS,ELECTORALES,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GUANAJUATO,OTROS DELITOS,EN MATERIA DE DERECHOS DE AUTOR,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0
GUANAJUATO,OTROS DELITOS,"FALSEDAD, TITULO DECIMO TERCERO",4,4,10,9,8,10,4,4,8,8,2,5,3,2,9,3,7,10,4,11
GUANAJUATO,OTROS DELITOS,OTROS DELITOS DEL C.P.F.,6,7,14,20,9,10,19,19,15,15,7,7,7,17,7,13,19,11,22,11
GUANAJUATO,OTROS DELITOS,PATRIMONIALES,130,132,125,129,159,157,140,143,183,162,164,164,162,170,150,168,154,155,162,179
GUANAJUATO,OTROS DELITOS,VIAS DE COMUNICACION Y CORRESPONDENCIA,1,1,0,3,0,2,1,1,2,1,0,0,0,0,2,1,2,1,1,6
GUERRERO,CONTRA LA SALUD,COMERCIO,0,0,0,0,0,0,0,0,3,0,0,0,1,0,0,0,0,1,1,0
GUERRERO,CONTRA LA SALUD,OTROS,1,1,2,0,3,2,0,0,0,1,4,1,7,1,2,3,2,1,1,0
GUERRERO,CONTRA LA SALUD,POSESION,1,3,2,3,0,1,0,0,3,4,3,4,2,5,5,4,4,4,4,2
GUERRERO,CONTRA LA SALUD,PRODUCCION,0,0,0,2,0,0,0,0,0,0,0,1,1,1,2,0,0,1,0,0
GUERRERO,CONTRA LA SALUD,SUMINISTRO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GUERRERO,CONTRA LA SALUD,TRAFICO,0,0,0,0,0,0,1,1,0,0,1,3,1,1,0,1,0,0,1,0
GUERRERO,CONTRA LA SALUD,TRANSPORTE,0,0,0,2,0,0,1,0,1,0,5,2,0,0,0,1,2,1,0,0
GUERRERO,LEY FEDERAL CONTRA LA DELINCUENCIA ORGANIZADA (L.F.C.D.O.),CONTRA LA SALUD,0,0,0,0,0,0,0,1,0,1,0,0,0,2,0,1,0,0,0,1
GUERRERO,LEY FEDERAL CONTRA LA DELINCUENCIA ORGANIZADA (L.F.C.D.O.),OTROS DELITOS PREVISTOS EN LA L.F.C.D.O.,0,0,4,4,1,0,1,2,0,0,0,3,2,2,1,1,1,0,1,0
GUERRERO,LEY GENERAL DE SALUD (L.G.S.),CONTRA LA SALUD EN SU MODALIDAD DE NARCOMENUDEO,1,2,0,1,0,1,1,2,3,1,0,2,2,0,0,0,0,2,1,1
GUERRERO,LEY GENERAL DE SALUD (L.G.S.),OTROS DELITOS PREVISTOS EN LA L.G.S.,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GUERRERO,OTRAS LEYES Y CODIGOS,CODIGO FISCAL DE LA FEDERACION (C.F.F.),4,0,4,5,9,6,3,0,2,1,2,3,1,2,2,2,7,2,1,3
GUERRERO,OTRAS LEYES Y CODIGOS,LEY DE LA PROPIEDAD INDUSTRIAL (L.P.I.),0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
GUERRERO,OTRAS LEYES Y CODIGOS,LEY DE MIGRACION,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
GUERRERO,OTRAS LEYES Y CODIGOS,LEY DE VIAS GENERALES DE COMUNICACION (L.V.G.C.),14,20,26,6,10,12,4,9,5,3,7,9,7,12,7,26,5,8,5,30
GUERRERO,OTRAS LEYES Y CODIGOS,LEY FEDERAL DE ARMAS DE FUEGO Y EXPLOSIVOS (L.F.A.F.E.),33,48,42,43,35,40,38,34,28,23,48,39,38,48,37,30,47,35,31,43
GUERRERO,OTRAS LEYES Y CODIGOS,LEY FEDERAL DEL DERECHO DE AUTOR (L.F.D.A.),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
