ENTIDAD,CONCEPTO,TIPO,2019,2020,2021,2022,2023,2024,2025
AGUASCALIENTES,LEY FEDERAL CONTRA LA DELINCUENCIA ORGANIZADA (L.F.C.D.O.),TRAFICO,0,0,0,0,0,0,0
AGUASCALIENTES,LEY FEDERAL CONTRA LA DELINCUENCIA ORGANIZADA (L.F.C.D.O.),TRANSPORTE,0,0,0,0,0,0,0
AGUASCALIENTES,LEY FEDERAL CONTRA LA DELINCUENCIA ORGANIZADA (L.F.C.D.O.),VIAS DE COMUNICACION Y CORRESPONDENCIA,0,0,0,0,0,0,0
AGUASCALIENTES,LEY GENERAL DE SALUD (L.G.S.),CODIGO FISCAL DE LA FEDERACION (C.F.F.),0,0,0,0,0,0,0
AGUASCALIENTES,LEY GENERAL DE SALUD (L.G.S.),COMERCIO,0,0,0,0,0,0,0
AGUASCALIENTES,LEY GENERAL DE SALUD (L.G.S.),COMETIDOS POR SERVIDORES PUBLICOS,0,0,0,0,0,0,0
AGUASCALIENTES,LEY GENERAL DE SALUD (L.G.S.),CONTRA EL AMBIENTE Y LA GESTION AMBIENTAL,0,0,0,0,0,0,0
AGUASCALIENTES,LEY GENERAL DE SALUD (L.G.S.),CONTRA LA INTEGRIDAD CORPORAL,0,0,0,0,0,0,0
AGUASCALIENTES,LEY GENERAL DE SALUD (L.G.S.),CONTRA LA SALUD,0,0,0,0,0,0,0
AGUASCALIENTES,LEY GENERAL DE SALUD (L.G.S.),CONTRA LA SALUD EN SU MODALIDAD DE NARCOMENUDEO,15,16,8,1,1,4,5
AGUASCALIENTES,LEY GENERAL DE SALUD (L.G.S.),ELECTORALES,0,0,0,0,0,0,0
AGUASCALIENTES,LEY GENERAL DE SALUD (L.G.S.),EN MATERIA DE DERECHOS DE AUTOR,0,0,0,0,0,0,0
AGUASCALIENTES,LEY GENERAL DE SALUD (L.G.S.),"FALSEDAD, TITULO DECIMO TERCERO",0,0,0,0,0,0,0
AGUASCALIENTES,LEY GENERAL DE SALUD (L.G.S.),LEY DE LA PROPIEDAD INDUSTRIAL (L.P.I.),0,0,0,0,0,0,0
AGUASCALIENTES,LEY GENERAL DE SALUD (L.G.S.),LEY DE MIGRACION,0,0,0,0,0,0,0
AGUASCALIENTES,LEY GENERAL DE SALUD (L.G.S.),LEY DE VIAS GENERALES DE COMUNICACION (L.V.G.C.),0,0,0,0,0,0,0
AGUASCALIENTES,LEY GENERAL DE SALUD (L.G.S.),LEY FEDERAL DE ARMAS DE FUEGO Y EXPLOSIVOS (L.F.A.F.E.),0,0,0,0,0,0,0
AGUASCALIENTES,LEY GENERAL DE SALUD (L.G.S.),LEY FEDERAL DEL DERECHO DE AUTOR (L.F.D.A.),0,0,0,0,0,0,0
AGUASCALIENTES,LEY GENERAL DE SALUD (L.G.S.),LEY FEDERAL PARA PREVENIR Y SANCIONAR LOS DELITOS COMETIDOS EN MATERIA DE HIDROCARBUROS (L.F.P.S.D.C.M.H.),0,0,0,0,0,0,0
AGUASCALIENTES,LEY GENERAL DE SALUD (L.G.S.),LEY GENERAL EN MATERIA DE DELITOS ELECTORALES (L.G.M.D.E.),0,0,0,0,0,0,0
AGUASCALIENTES,LEY GENERAL DE SALUD (L.G.S.),"LEYES DE INSTITUCIONES DE CREDITO, INVERSION, FIANZAS Y SEGUROS",0,0,0,0,0,0,0
AGUASCALIENTES,LEY GENERAL DE SALUD (L.G.S.),OTRAS LEYES ESPECIALES,0,0,0,0,0,0,0
AGUASCALIENTES,LEY GENERAL DE SALUD (L.G.S.),OTROS,0,0,0,0,0,0,0
AGUASCALIENTES,LEY GENERAL DE SALUD (L.G.S.),OTROS DELITOS DEL C.P.F.,0,0,0,0,0,0,0
AGUASCALIENTES,LEY GENERAL DE SALUD (L.G.S.),OTROS DELITOS PREVISTOS EN LA L.F.C.D.O.,0,0,0,0,0,0,0
AGUASCALIENTES,LEY GENERAL DE SALUD (L.G.S.),OTROS DELITOS PREVISTOS EN LA L.G.S.,1,0,0,6,1,0,2
AGUASCALIENTES,LEY GENERAL DE SALUD (L.G.S.),PATRIMONIALES,0,0,0,0,0,0,0
AGUASCALIENTES,LEY GENERAL DE SALUD (L.G.S.),POSESION,0,0,0,0,0,0,0
AGUASCALIENTES,LEY GENERAL DE SALUD (L.G.S.),PRODUCCION,0,0,0,0,0,0,0
AGUASCALIENTES,LEY GENERAL DE SALUD (L.G.S.),SUMINISTRO,0,0,0,0,0,0,0
AGUASCALIENTES,LEY GENERAL DE SALUD (L.G.S.),TRAFICO,0,0,0,0,0,0,0
AGUASCALIENTES,LEY GENERAL DE SALUD (L.G.S.),TRANSPORTE,0,0,0,0,0,0,0
